callSign,aircraft.reg,airline.iata,airline.name,departure.airport.iata,arrival.airport.iata,departure.scheduledTime.utc,arrival.scheduledTime.utc,departure.gate,arrival.gate,ARR_DELAY,PRIOR_LEG_DELAY,PREDICTED_DELAY,downstream_count,DELAY_BETA,DELAY_BETA_NORM
,C-GOFV,A3,Aegean,,FRA,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,E77,,0.0,0.0,0.101459764,4,0.5072988199999999,0.022306966221000906
,C-GOFV,SQ,Singapore,,FRA,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,E77,,0.0,0.0,0.0,3,0.0,0.0
,C-GOFV,OS,Austrian,,FRA,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,E77,,0.0,0.0,0.0,2,0.0,0.0
,C-GOFV,OU,Croatia,,FRA,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,E77,,0.0,0.0,0.47233945,1,0.9446789,0.04153946250454968
,C-GOFV,AC,Air Canada,,FRA,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,E77,,0.0,0.0,0.8310205,0,0.8310205,0.036541670296925365
TSC558,C-GOIM,TS,Air Transat,,VRA,2025-12-19 22:20:00+00:00,2025-12-20 01:55:00+00:00,B29,,0.0,0.0,0.7509657,0,0.7509657,0.03302149707943398
TSC164,C-GOIO,TS,Air Transat,,GEO,2025-12-19 22:00:00+00:00,2025-12-20 04:15:00+00:00,B19,,0.0,0.0,0.7509657,0,0.7509657,0.03302149707943398
TSC956,C-GOKC,TS,Air Transat,,HOG,2025-12-19 21:15:00+00:00,2025-12-20 01:10:00+00:00,B38,,0.0,0.0,1.2597485,1,2.519497,0.11078743386967295
TSC957,C-GOKC,TS,Air Transat,HOG,,2025-12-20 02:50:00+00:00,2025-12-20 06:45:00+00:00,,B41,0.0,0.0,74.8045,0,74.8045,3.289306792944763
WJA384,C-GORP,WS,WestJet,YWG,,2025-12-19 17:10:00+00:00,2025-12-19 19:40:00+00:00,6,B40,79.0,0.0,87.39469,1,174.78938,7.685846372458922
WJA648,C-GORP,WS,WestJet,YYC,,2025-12-20 00:15:00+00:00,2025-12-20 04:11:00+00:00,D83,B20,0.0,79.0,217.47987,0,217.47987,9.56303449284126
WJA2727,C-GOWG,WS,WestJet,SNU,,,2025-12-19 20:31:00+00:00,,B9,147.0,0.0,0.0,0,0.0,0.0
WJA647,C-GQWJ,AM,Aeromexico,,YYC,2025-12-19 21:00:00+00:00,2025-12-20 01:32:00+00:00,B22,A11,55.0,55.0,55.16933,4,275.84665,12.12954113263315
WJA647,C-GQWJ,WS,WestJet,,YYC,2025-12-19 21:00:00+00:00,2025-12-20 01:32:00+00:00,B22,A11,55.0,55.0,54.981884,3,219.927536,9.670663370791916
