number,callSign,status,codeshareStatus,isCargo,direction,departure.scheduledTime.utc,departure.scheduledTime.local,departure.revisedTime.utc,departure.revisedTime.local,departure.terminal,departure.gate,departure.quality,arrival.airport.icao,arrival.airport.iata,arrival.airport.name,arrival.airport.timeZone,arrival.scheduledTime.utc,arrival.scheduledTime.local,arrival.revisedTime.utc,arrival.revisedTime.local,arrival.quality,aircraft.reg,aircraft.modeS,aircraft.model,airline.name,airline.iata,airline.icao,arrival.terminal,arrival.baggageBelt,arrival.gate,arrival.runwayTime.utc,arrival.runwayTime.local,departure.runwayTime.utc,departure.runwayTime.local,departure.airport.icao,departure.airport.iata,departure.airport.name,departure.airport.timeZone,departure.checkInDesk
AC 8729,ACA8729,Departed,IsOperator,False,departures,2025-12-19 21:20Z,2025-12-19 16:20-05:00,2025-12-19 21:23Z,2025-12-19 16:23-05:00,1,F86,"['Basic', 'Live']",KCLE,CLE,Cleveland,America/New_York,2025-12-19 22:30Z,2025-12-19 17:30-05:00,2025-12-19 22:44Z,2025-12-19 17:44-05:00,"['Basic', 'Live']",C-FJQZ,C0197E,Canadair CRJ 900,Air Canada,AC,ACA,,,,2025-12-19 22:44Z,2025-12-19 17:44-05:00,,,,,,,
UA 568,UAL568,Departed,IsOperator,False,departures,2025-12-19 21:10Z,2025-12-19 16:10-05:00,2025-12-19 21:28Z,2025-12-19 16:28-05:00,1,F82,"['Basic', 'Live']",KDEN,DEN,Denver,America/Denver,2025-12-20 01:10Z,2025-12-19 18:10-07:00,2025-12-20 01:42Z,2025-12-19 18:42-07:00,"['Basic', 'Live']",N850UA,ABA91B,Airbus A319,United,UA,UAL,,,,,,,,,,,,
AC 4888,UAL568,Departed,IsCodeshared,False,departures,2025-12-19 21:10Z,2025-12-19 16:10-05:00,2025-12-19 21:28Z,2025-12-19 16:28-05:00,1,F82,"['Basic', 'Live']",KDEN,DEN,Denver,America/Denver,2025-12-20 01:10Z,2025-12-19 18:10-07:00,2025-12-20 01:42Z,2025-12-19 18:42-07:00,"['Basic', 'Live']",N850UA,ABA91B,Airbus A319,Air Canada,AC,ACA,,,,,,,,,,,,
AC 8237,ACA8237,Departed,IsOperator,False,departures,2025-12-19 19:30Z,2025-12-19 14:30-05:00,2025-12-19 21:35Z,2025-12-19 16:35-05:00,1,D3,"['Basic', 'Live']",CYSB,YSB,Greater Sudbury,America/Toronto,,,,,[],C-GBJZ,C04850,De Havilland Canada DHC-8-400 Dash 8Q,Air Canada,AC,ACA,,,,,,,,,,,,
KE 6547,WJA647,Departed,IsCodeshared,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:38Z,2025-12-19 16:38-05:00,3,B22,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-20 01:32Z,2025-12-19 18:32-07:00,2025-12-20 02:27Z,2025-12-19 19:27-07:00,"['Basic', 'Live']",C-GQWJ,C0712E,Boeing 737-700,Korean Air,KE,KAL,D,,A11,,,,,,,,,
AM 7150,WJA647,Departed,IsCodeshared,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:38Z,2025-12-19 16:38-05:00,3,B22,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-20 01:32Z,2025-12-19 18:32-07:00,2025-12-20 02:27Z,2025-12-19 19:27-07:00,"['Basic', 'Live']",C-GQWJ,C0712E,Boeing 737-700,Aeromexico,AM,AMX,D,,A11,,,,,,,,,
WS 647,WJA647,Departed,IsOperator,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:38Z,2025-12-19 16:38-05:00,3,B22,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-20 01:32Z,2025-12-19 18:32-07:00,2025-12-20 02:27Z,2025-12-19 19:27-07:00,"['Basic', 'Live']",C-GQWJ,C0712E,Boeing 737-700,WestJet,WS,WJA,D,,A11,,,,,,,,,
MU 1978,WJA647,Departed,IsCodeshared,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:38Z,2025-12-19 16:38-05:00,3,B22,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-20 01:32Z,2025-12-19 18:32-07:00,2025-12-20 02:27Z,2025-12-19 19:27-07:00,"['Basic', 'Live']",C-GQWJ,C0712E,Boeing 737-700,China Eastern,MU,CES,D,,A11,,,,,,,,,
DL 7186,WJA647,Departed,IsCodeshared,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:38Z,2025-12-19 16:38-05:00,3,B22,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-20 01:32Z,2025-12-19 18:32-07:00,2025-12-20 02:27Z,2025-12-19 19:27-07:00,"['Basic', 'Live']",C-GQWJ,C0712E,Boeing 737-700,Delta Air Lines,DL,DAL,D,,A11,,,,,,,,,
AC 418,ACA418,Departed,IsOperator,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:39Z,2025-12-19 16:39-05:00,1,D35,"['Basic', 'Live']",CYUL,YUL,Montreal,America/Toronto,2025-12-19 22:25Z,2025-12-19 17:25-05:00,2025-12-19 23:11Z,2025-12-19 18:11-05:00,"['Basic', 'Live']",C-FSNQ,C030EB,Boeing 737,Air Canada,AC,ACA,,,7,,,,,,,,,
